CN,PLT_CN,CONDID,HABTYPCD,FPAG
24206996010900,24206994010900,1,CEG211,CEG2
24208879010900,24208877010900,1,CEFM,CEFM
24209890010900,24209888010900,1,CFS234,CFS2
22405531010497,22398383010497,1,CFS234,CFS2
24207699010900,24207697010900,1,CMS216,CMS2
22405502010497,22398380010497,1,CFS551,CFS5
22405516010497,22398382010497,1,CWS524,CWS5
24210316010900,24210314010900,1,CDS675,CDS6
22405500010497,22398379010497,1,CPG231,CPG2
22405498010497,22398631010497,1,CFF254,CFF2
24211434010900,24211430010900,1,CWS226,CWS2
22405535010497,22398384010497,1,CMS122,CMS1
24208348010900,24208346010900,1,CWF0,CWF0
22405476010497,22398377010497,1,CWS554,CWS5
24209068010900,24209066010900,1,CMG221,CMG2
24208123010900,24208121010900,1,CERR,CERR
24206683010900,24206681010900,1,CWS332,CWS3
22405514010497,22398381010497,1,CWS524,CWS5
24208210010900,24208204010900,2,CDS638,CDS6
22405478010497,22398378010497,1,CHF223,CHF2
22405480010497,22398378010497,3,CWS338,CWS3
24207480010900,24207478010900,1,CDF0,CDF0
22404193010497,22398221010497,1,CDG131,CDG1
22404195010497,22398221010497,3,CDG131,CDG1
24135617010900,24135615010900,1,CDS715,CDS7
24134262010900,24134260010900,1,CDS715,CDS7
24134723010900,24134721010900,1,CDS633,CDS6
24134549010900,24134547010900,1,CDG122,CDG1
24135967010900,24135965010900,1,CDS814,CDS8
24135969010900,24135965010900,2,CDS814,CDS8
22404163010497,22398215010497,1,CDG131,CDG1
24134855010900,24134853010900,1,CDG131,CDG1
22404210010497,22398223010497,1,CDS715,CDS7
22404179010497,22398218010497,1,CDS832,CDS8
22404215010497,22398224010497,1,CDS832,CDS8
22404176010497,22398217010497,1,CES313,CES3
24136266010900,24136264010900,1,CDS814,CDS8
24134092010900,24134090010900,1,CDS611,CDS6
24133964010900,24133962010900,1,CDS715,CDS7
24137421010900,24137419010900,1,CPS521,CPS5
22404169010497,22398216010497,1,CDG131,CDG1
22404170010497,22398216010497,2,CDG134,CDG1
24136539010900,24136537010900,1,CDG131,CDG1
24136972010900,24136970010900,1,CES412,CES4
22404203010497,22398222010497,1,CDS655,CDS6
22404139010497,22398213010497,1,CES211,CES2
22404125010497,22398211010497,1,CES113,CES1
24135122010900,24135120010900,1,CDS627,CDS6
24136824010900,24136822010900,1,CDS633,CDS6
24135048010900,24135041010900,2,CDS627,CDS6
24138392010900,24138390010900,1,CES422,CES4
22404180010497,22398219010497,1,CDS832,CDS8
24138097010900,24138095010900,1,CDS716,CDS7
24137526010900,24137524010900,1,CDS715,CDS7
24137528010900,24137524010900,2,CDS715,CDS7
24135339010900,24135336010900,1,CDS715,CDS7
22404128010497,22398212010497,1,CCF221,CCF2
24135845010900,24135843010900,1,CDS715,CDS7
24164069010900,24164067010900,1,CDG311,CDG3
24180246010900,24180244010900,1,CWS422,CWS4
24180849010900,24180847010900,1,CDS715,CDS7
22404883010497,22398305010497,1,CHF311,CHF3
22404916010497,22398309010497,1,CHF311,CHF3
22404906010497,22398546010497,1,CWF411,CWF4
22404898010497,22398543010497,1,CHF311,CHF3
24178910010900,24178908010900,1,CES313,CES3
22404923010497,22398550010497,1,CCS311,CCS3
22404875010497,22398304010497,1,CEF211,CEF2
24179865010900,24179863010900,1,CCF221,CCF2
24179867010900,24179863010900,2,CCF221,CCF2
24181141010900,24181139010900,1,CHF311,CHF3
24179554010900,24179552010900,1,CWS422,CWS4
22404893010497,22398542010497,1,CHF311,CHF3
22404911010497,22398548010497,1,CEF111,CEF1
22404958010497,22398313010497,1,CHF311,CHF3
22404868010497,22398303010497,1,CCS311,CCS3
22404885010497,22398306010497,1,CWF411,CWF4
22404887010497,22398307010497,1,CHS411,CHS4
22404919010497,22398310010497,1,CCF221,CCF2
24178133010900,24178128010900,2,CDS715,CDS7
22404894010497,22398308010497,1,CHF311,CHF3
24199552010900,24199550010900,1,CES313,CES3
24195450010900,24195448010900,1,CPS521,CPS5
24195998010900,24195996010900,1,CPS512,CPS5
24198977010900,24198975010900,1,CEF423,CEF4
24200984010900,24200982010900,1,CCF221,CCF2
24197942010900,24197940010900,1,CDS715,CDS7
24180539010900,24180537010900,1,CDS715,CDS7
24198554010900,24198552010900,1,CWS421,CWS4
24199207010900,24199205010900,1,CWS821,CWS8
24196874010900,24196872010900,1,CPG121,CPG1
24196979010900,24196977010900,1,CWF551,CWF5
24197825010900,24197823010900,1,CDG131,CDG1
24200750010900,24200744010900,2,CCS311,CCS3
24200395010900,24200393010900,1,CDS716,CDS7
24197331010900,24197329010900,1,CWF313,CWF3
24196694010900,24196692010900,1,CDS627,CDS6
24199919010900,24199913010900,2,CWS422,CWS4
24198348010900,24198346010900,1,CDG311,CDG3
24198814010900,24198812010900,1,CDG311,CDG3
24198816010900,24198812010900,2,CDG311,CDG3
24197143010900,24197141010900,1,HQS211,HQS2
24197145010900,24197141010900,2,HQS211,HQS2
22405371010497,22398366010497,1,CCF222,CCF2
22405354010497,22398365010497,1,CDS716,CDS7
24200190010900,24200188010900,1,CDS715,CDS7
22405397010497,22398368010497,1,CDS715,CDS7
24530182010900,24530176010900,2,CHS7,CHS7
24530288010900,24530286010900,1,HA,HA
24535883010900,24535881010900,1,CHF1,CHF1
24536988010900,24536986010900,1,CMS350,CMS3
24537424010900,24537422010900,1,CHF132,CHF1
24536543010900,24536541010900,1,CHF135,CHF1
22404352010497,22398462010497,1,CFS555,CFS5
24536419010900,24536417010900,1,CHF132,CHF1
24536421010900,24536417010900,2,CHF132,CHF1
24536762010900,24536760010900,1,CMS350,CMS3
22404375010497,22398466010497,1,CFS218,CFS2
22404359010497,22398463010497,1,CHS135,CHS1
24534778010900,24534776010900,1,CFF250,CFF2
24536114010900,24536111010900,1,CMS253,CMS2
24535346010900,24535344010900,1,CHF4,CHF4
22404387010497,22398467010497,1,CHS251,CHS2
24535501010900,24535495010900,2,CFS5,CFS5
24535671010900,24535669010900,1,CHF1,CHF1
24535192010900,24535190010900,1,CHF133,CHF1
24535194010900,24535190010900,2,CHF133,CHF1
22404982010497,22398562010497,1,CEF341,CEF3
22404972010497,22398558010497,1,CHS125,CHS1
22404981010497,22398561010497,1,CHS126,CHS1
24490947010900,24490945010900,1,CFS258,CFS2
24490949010900,24490945010900,2,CFS260,CFS2
24491295010900,24491293010900,1,CHS135,CHS1
24490738010900,24490736010900,1,CFS3,CFS3
22404973010497,22398559010497,1,CFS216,CFS2
26126282010900,26126280010900,1,CHF134,CHF1
24492276010900,24492264010900,3,CD,CD
24492278010900,24492264010900,4,CD,CD
24492097010900,24492095010900,1,CHS7,CHS7
24493464010900,24493462010900,1,CFS223,CFS2
24492964010900,24492962010900,1,CHS8,CHS8
24492966010900,24492962010900,2,CHS8,CHS8
22405003010497,22398564010497,1,CMS254,CMS2
24494563010900,24494561010900,1,CHS133,CHS1
24493127010900,24493125010900,1,CHF132,CHF1
24493130010900,24493125010900,2,CHF132,CHF1
22405023010497,22398566010497,1,CHF133,CHF1
24492596010900,24492594010900,1,CHF133,CHF1
